Regular Menu;Large Fries;154;449;7;21;9.95;0.15;1.54;54.16;0.77;0.0;306.29
McCafe Menu;Hot Chocolate (R);259;297;8;9;6.13;0.32;24.59;48.41;39.24;21.37;207.09
Beverages Menu;Small Fanta Oragne;299;129;0;0;0.0;0.0;0.0;32.37;32.37;32.37;55.53
Condiments Menu;Sweet Corn;40;45;1;1;0.22;0.04;2.0;7.55;2.54;0.0;0.04
Condiments Menu;Mixed Fruit Beverage;180;72;1;0;0.02;0.02;0.01;18.0;16.83;0.0;10.8
